Week,artificial intelligence,computer vision,natural language processing,machine learning,algorithm
2019-07-14,8,1,1,16,18
2019-07-21,8,1,1,15,17
2019-07-28,9,1,1,14,17
2019-08-04,9,1,1,14,17
2019-08-11,8,1,1,16,20
2019-08-18,8,1,1,14,17
2019-08-25,7,1,1,13,18
2019-09-01,9,1,1,13,21
2019-09-08,9,1,1,14,21
2019-09-15,7,1,1,18,23
2019-09-22,11,1,0,17,22
2019-09-29,9,1,1,19,23
2019-10-06,12,2,1,18,25
2019-10-13,10,1,1,19,27
2019-10-20,10,2,1,21,25
2019-10-27,9,1,1,17,22
2019-11-03,12,1,1,17,26
2019-11-10,9,2,1,17,27
2019-11-17,11,1,1,18,27
2019-11-24,11,1,1,16,24
2019-12-01,10,1,1,17,27
2019-12-08,9,1,0,17,24
2019-12-15,9,1,1,18,20
2019-12-22,5,1,0,12,15
2019-12-29,8,1,0,11,18
2020-01-05,11,1,1,17,26
2020-01-12,11,2,1,20,28
2020-01-19,10,2,1,19,29
2020-01-26,11,1,1,19,22
2020-02-02,12,2,1,20,28
2020-02-09,12,2,1,19,27
2020-02-16,12,2,1,19,26
2020-02-23,10,2,1,19,26
2020-03-01,12,2,1,17,30
2020-03-08,9,1,0,18,24
2020-03-15,8,1,1,15,23
2020-03-22,8,1,1,15,23
2020-03-29,9,2,1,16,25
2020-04-05,9,1,1,14,21
2020-04-12,11,1,1,15,21
2020-04-19,9,1,1,15,25
2020-04-26,11,2,0,14,27
2020-05-03,10,2,1,18,23
2020-05-10,10,2,1,16,26
2020-05-17,10,2,0,16,24
2020-05-24,7,1,1,17,20
2020-05-31,9,1,1,17,25
2020-06-07,8,2,1,18,24
2020-06-14,8,1,1,17,23
2020-06-21,8,2,1,16,23
2020-06-28,8,1,1,15,23
2020-07-05,8,1,1,16,22
2020-07-12,7,1,1,15,20
2020-07-19,8,2,1,19,20
2020-07-26,8,2,1,17,16
2020-08-02,7,1,1,17,18
2020-08-09,8,2,1,14,41
2020-08-16,9,2,1,16,100
2020-08-23,9,2,1,14,30
2020-08-30,9,1,1,15,23
2020-09-06,8,2,0,17,23
2020-09-13,9,1,1,17,26
2020-09-20,9,2,1,18,26
2020-09-27,11,2,1,16,24
2020-10-04,8,2,1,16,26
2020-10-11,10,2,1,19,25
2020-10-18,10,1,1,16,23
2020-10-25,9,1,1,15,21
2020-11-01,10,2,1,19,24
2020-11-08,12,2,1,17,25
2020-11-15,11,2,1,16,26
2020-11-22,10,1,1,15,23
2020-11-29,10,1,1,16,24
2020-12-06,9,1,1,17,25
2020-12-13,7,1,1,14,21
2020-12-20,7,1,0,12,15
2020-12-27,6,1,0,11,17
2021-01-03,9,1,1,14,29
2021-01-10,10,1,1,16,29
2021-01-17,8,2,0,15,25
2021-01-24,9,1,0,18,24
2021-01-31,9,1,1,15,23
2021-02-07,9,1,1,15,28
2021-02-14,11,1,1,13,24
2021-02-21,11,1,1,14,38
2021-02-28,11,1,1,15,26
2021-03-07,8,2,1,14,24
2021-03-14,9,2,1,14,27
2021-03-21,8,1,1,14,27
2021-03-28,7,1,1,11,22
2021-04-04,7,1,1,12,19
2021-04-11,8,1,1,15,19
2021-04-18,8,1,1,14,22
2021-04-25,8,1,0,16,26
2021-05-02,6,1,1,14,23
2021-05-09,7,2,1,13,24
2021-05-16,7,1,0,13,24
2021-05-23,7,2,0,13,22
2021-05-30,7,1,1,10,21
2021-06-06,7,1,1,12,22
2021-06-13,7,1,0,12,17
2021-06-20,6,1,0,12,16
2021-06-27,5,1,0,12,17
2021-07-04,6,1,1,12,16
2021-07-11,6,1,0,12,17
2021-07-18,6,1,1,11,17
2021-07-25,5,1,1,11,14
2021-08-01,4,1,0,11,14
2021-08-08,6,1,0,11,14
2021-08-15,5,1,0,11,15
2021-08-22,7,1,1,11,16
2021-08-29,5,1,0,10,16
2021-09-05,6,1,0,12,16
2021-09-12,6,1,1,12,17
2021-09-19,8,1,0,12,19
2021-09-26,6,1,0,12,16
2021-10-03,7,1,1,13,20
2021-10-10,8,2,1,13,23
2021-10-17,7,1,0,15,24
2021-10-24,7,1,0,13,22
2021-10-31,7,1,0,14,24
2021-11-07,8,1,1,16,26
2021-11-14,10,1,0,15,25
2021-11-21,7,2,1,15,23
2021-11-28,11,1,1,16,24
2021-12-05,8,1,0,16,26
2021-12-12,7,2,1,15,24
2021-12-19,6,1,0,10,17
2021-12-26,7,1,0,9,13
2022-01-02,8,1,0,14,26
2022-01-09,10,2,1,21,30
2022-01-16,9,2,1,18,28
2022-01-23,8,2,1,18,26
2022-01-30,7,2,1,17,29
2022-02-06,9,2,1,22,28
2022-02-13,10,3,1,22,31
2022-02-20,9,2,1,23,29
2022-02-27,9,1,1,20,31
2022-03-06,11,2,1,24,36
2022-03-13,11,2,1,24,34
2022-03-20,9,2,1,25,30
2022-03-27,11,2,1,22,32
2022-04-03,8,1,1,22,27
2022-04-10,8,1,1,19,27
2022-04-17,9,2,1,23,31
2022-04-24,10,3,1,24,37
2022-05-01,9,2,1,24,34
2022-05-08,9,2,1,25,32
2022-05-15,12,2,1,23,33
2022-05-22,10,2,1,17,31
2022-05-29,6,1,1,17,21
2022-06-05,9,2,1,18,28
2022-06-12,10,2,1,20,25
2022-06-19,9,1,1,19,27
2022-06-26,8,2,1,20,26
2022-07-03,7,2,1,18,22
2022-07-10,9,2,1,21,24
2022-07-17,9,2,1,20,22
2022-07-24,9,2,0,19,20
2022-07-31,9,1,0,21,22
